Document ID,Document Text,Document Type,Grantors,Grantees,Legal Authorities,Acreage,Boundaries,Lot Info,City,County,Province/Colony,Execution Date,Recording Date
000001-0257,And have full power and lawful authority to grant and convey the same in manner aforesaid. That the said Premises are free and clear of all Incumbrances whatsoever and my Heirs Executors and Administrators shall and will Warrant the same to him the said Elijah Rockwell his heirs and assigns against the lawful Claims and Demands of any Person or Persons whatsoever Claiming or holding the same from by or under me. In Testimony whereof I have hereto set my hand & seal this Twentieth Day of June Seventeen Hundred & Fifty Eight & in the Thirty first Year of His Majesties Reign. Signed Sealed & Delivered in Presence of [Eleazar Rockwell Seal] John Ashley Hannah Ashley. Hampshire June 20: 1758 Then Eleazar Rockwell appeared and acknowledged the abovewritten Deed to be his act & Deed. Coram John Ashley Jun. Justice Peace. Rec'd December 11th 1758 and Recorded from the Original. P. Edw'd Pynchon Reg'r. Know all men by these Presents that I Elijah Alvord of South Hadley in the County of Hampshire in the Province of the Massachusetts Bay in new England Inholder In consideration of one hundred & Forty Pounds lawful money paid me by John Smith of South Hadley afores'd Husbandman the Receipt whereof I do hereby acknowledge (received) - Do hereby Give Grant and Convey to the said John Smith his Assigns and Heirs the several Parcels of land hereafter described both of them lying in South Hadley afores'd viz: one piece or parcel containing thirty five acres lying in the General Field called Tall Field bounded west by the Great River South by John Trenches land East by the field fence North by my own land. More also another piece or parcel containing thirty seven acres and half acre bounded west by the Road or Highway that lies along on the East Side of the afores'd General Field South Eastly by Gideon Alvords land Eastly by Nath'l Whites land East by Lt. John Lymans land and North by my the S'd Elijah Alvords own land. To Have and To Hold the same to the said John Smith his Assigns & Heirs And I do covenant with the Said John Smith his Heirs and Assigns That I am lawfully Seized of,Land Deed/Conveyance,"Eleazar Rockwell (in first deed), Elijah Alvord (in second deed)","Elijah Rockwell (in first deed), John Smith (in second deed)","John Ashley Jun., Justice Peace, Edw'd Pynchon, Reg'r",35 acres and 37.5 acres (two parcels),"First parcel: bounded west by the Great River, South by John Trenches land, East by the field fence, North by grantor's own land, Second parcel: bounded west by the Road or Highway, South Eastly by Gideon Alvords land, Eastly by Nath'l Whites land, East by Lt. John Lymans land, North by Elijah Alvords own land","Two parcels in South Hadley, one in the General Field called Tall Field",South Hadley,Hampshire,,"June 20, 1758","December 11, 1758"
000001-0056,"The document contains two separate deeds. First deed: Samuel Stebbins acknowledges a land transaction dated April 13, 1756 in the 31st year of His Majesty's reign, witnessed by Margaret Ball and John Worthington, recorded by Edward Pynchon. Second deed: Timothy Treat of Glastonbury in Connecticut sells land to Thomas Treat of Sheffield in Hampshire County for fifteen pounds, conveying approximately 200 acres near Taconuck Mountain that was formerly granted to Richard Treat by the General Court of Massachusetts Bay. This deed was signed September 24, 1756 and witnessed by John Ashley and John Walker, then recorded April 13, 1758.",Land Deeds (two separate deeds),"Samuel Stebbins, Timothy Treat","Not specified in first deed, Thomas Treat","John Worthington, Justice, John Ashley, Justice, Edward Pynchon, Register",200 acres (in second deed),Near Taconuck Mountain,Part of two hundred acres formerly granted to Richard Treat,Sheffield (mentioned in second deed),Hampshire County (in second deed),,"April 13, 1756 (first deed); September 24, 1756 (second deed)","April 13, 1758 (both deeds appear to be recorded on this date)"
000001-0820,To the within Instrument Acknowledged the Same to be his act and Deed Coram Jed: Foster Jus: Pac: Rec'd Aug't 30th 1759 and Recorded from the Original p Edw'd Pynchon Reg'r. Know all Men These Presents that I Thomas Buckminster of Brookfield In The County of Worcester and Province of the Massachusetts Bay in New England Gent For and In Consideration of the Sum of Twenty pounds Lawfull money to me by Ephraim Perry of a Place Commonly Gardner or Roxbury Canada No. 2 Designing To Northfield in the County of Hampshire & province afores'd Yeoman Weight the Receipt Whereof I Do Hereby Acknowledge Do Hereby give grant sell and Convey to the said Ephraim Perry his heirs and assigns forever A Certain Right of Land in the said Gardner's Roxbury Canada Township being Original Lot No. Eleven Called Sharps Right Together with the Second Division for said Original Lot being No fifty one In the Said Second Division together with all the after Drafts and Divisions Which shall belong to the Sd original No. Eleven To Have and To Hold the Same To the Sd Ephraim Perry his heirs and assigns forever and I do covenant with the Said Ephraim Perry his heirs and Assigns that I am lawfully Seized in fee of the premises that they are free of all Encumbrances That I have Good Right to Sell and Convey the same to the said Ephraim Perry his Heirs and Assigns To hold as afores'd and that I will Warrant & Defend the same to the said Ephraim Perry his Heirs and assigns forever Against the Lawfull Claims and Demands of all Persons In Witness Whereof I the Sd Thomas Buckminster Have hereunto set my hand and Seal this Nineteenth Day of may in The Thirty Second Year of His Majesties Reign Annoq Domini 1759 Signed Sealed & Delivered In presence of us Moses Dwight Bathsheba Dwight [Thos Buckminster & Seal] Worcester ss May 19th 1759 Thomas Buckminster subscriber to the foregoing Instrument Acknowledged the same to be his act and Deed Coram Jed: Foster Jus: Pac: Rec'd Aug't 30th 1759 & Recorded from the Original p Edw'd Pynchon Reg'r.,Deed,Thomas Buckminster of Brookfield,Ephraim Perry,"Jed: Foster, Justice of the Peace, Edw'd Pynchon, Register",,,Original Lot No. Eleven Called Sharps Right Together with the Second Division for said Original Lot being No fifty one In the Said Second Division together with all the after Drafts and Divisions Which shall belong to the Sd original No. Eleven,Gardner or Roxbury Canada No. 2,"Worcester County (grantor), Hampshire County (grantee)",,"May 19, 1759","August 30, 1759"
000001-0757,,,,,,,,,,,,,
000001-0785,"Know all men that I Ephraim Coe of Durham in the County of New Haven in the Colony of Connecticut in New England for and in consideration of love, good will and affection which I have had toward my son Seth Phelps of Granville in the County of Hampshire and Province of the Massachusetts Bay in New England have given granted alienated conveyed and confirmed to the said Seth Phelps his heirs assigns forever one certain piece of land in Granville containing forty acres or thereabout bounded and described as follows (viz) beginning at a Stake and Stones near the School House in said Granville to run South Eighty two Degrees thirty minutes west and run South Eighty two Degrees Vary twenty two Degrees thirty minute north and then north Eighty rods with the same Variation to the East line then East north Eighty two rods Vary twenty two Degrees thirty minute South bounded north on the Country road, Easterly on a Highway, Southerly on Enoch Coes land and westerly on Williams and Pars [?] land. To Have and To Hold said granted premises with the appurtenances to the same belonging unto him the said Seth Phelps his Heirs and assigns forever to be his their use benefit and behoof and I the said Ephraim Coe do hereby for myself my heirs Executors and Administrators Covenant to and with the said Seth Phelps his Heirs & assigns forever that at and until the Ensealing hereof I am well seized in fee simple of the premises as a good indefeasible Estate of Inheritance and that I have good Right to grant convey and give the same in manner and form above written and that the said Seth Phelps his Heirs and assigns shall and may at all times forever hereafter by force and Virtue hereof lawfully and peaceably hold use possess and enjoy the premises free and Clear of all incumbrances whatsoever. Furthermore I the said Ephraim Coe do hereby for myself and for my Heirs Covenant and Engage to Warrant secure and Defend the above granted premises unto the said Seth Phelps his Heirs and assigns forever against all Claims and Demands of all persons whomsoever. In Witness whereof I have set my hand and seal this twelfth Day of February which is in the year of our Lord 1759. Signed Sealed and Delivered In Presence of us Joseph Norton, John Noyes Wadsworth. Ephraim Coe [Seal]. Durham October 12th AD 1759 Then personally appeared Ephraim Coe the within Signed and Sealed to the within written Instrument and acknowledged the same to be his free act and Deed before me James Wadsworth Just Peace. Recd August 29th 1759 and Recorded from the Original by Eldad Pynchon Regr.",Deed,Ephraim Coe,Seth Phelps,"James Wadsworth, Justice of Peace, Eldad Pynchon, Register",forty acres or thereabout,"beginning at a Stake and Stones near the School House in said Granville, run South Eighty two Degrees thirty minutes west, run South Eighty two Degrees Vary twenty two Degrees thirty minute north, north Eighty rods with the same Variation to the East line, East north Eighty two rods Vary twenty two Degrees thirty minute South, bounded north on the Country road, Easterly on a Highway, Southerly on Enoch Coes land, westerly on Williams and Pars [?] land",one certain piece of land in Granville,Granville,Hampshire,,"February 12, 1759","August 29, 1759"
000001-0657,"...have lawful authority to grant bargain sell convey and confirm said bargained premises in manner as aforesaid and that the said Ezra Clap his heirs and assigns shall and may from time to time and at all times forever hereafter by force and virtue of these presents lawfully peaceably and quietly have hold and occupy possess and enjoy the said demised and bargained premises with the appurtenances free and clear and freely and clearly acquitted exonerated and discharged of and from all and all manner of former or other gifts grants bargains sales leases mortgages wills entails jointures dowries judgements executions or encumbrances of what name or nature soever that might in any measure or degree obstruct or make void this present deed. Furthermore I the said Simeon Ashley for my self my heirs executors and administrators do covenant and engage the above demised premises to him the said Ezra Clap... against the lawful claims or demands of any person or persons whatsoever forever hereafter to warrant secure and defend by these presents. In witness whereof I have hereunto set my hand and seal this 8th day of February A.D. 1759 and in the thirty second year of his Majesty's Reign. Signed Sealed and Delivered in Presence of [Simeon Ashley] [Seal] John Shepard John Moseley Humphrey Westfield. February 28th 1759 then Simeon Ashley subscriber to the within instrument appeared and acknowledged the same to be his hand and seal and his act and deed before me David Moseley Jus Peace. Rec'd June 29th 1759 & Recorded from the Original by Edw. Pynchon Reg'r. Know all men by these Presents That I Charles Goodrich of a place called Pontoosuck in the County of Hampshire Province of the Massachusetts Bay in New England Yeoman In consideration of the just sum of thirty three pounds lawful money to me in hand paid before the delivery hereof by John Farrand of Litchfield in the County of Litchfield Colony of Connecticut, have granted bargained and sold and do by these presents give grant bargain sell alien and fully freely and absolutely convey and confirm unto him the said John Farrand his Heirs and assigns forever, one original lot of land lying in a Township called New Framingham in said County of Hampshire Containing...",Deed,"Simeon Ashley, Charles Goodrich","Ezra Clap, John Farrand","David Moseley, Justice of Peace, Edw. Pynchon, Registrar",Not specified,,one original lot of land lying in a Township called New Framingham,"New Framingham, Pontoosuck","Hampshire, Litchfield",,"February 8, 1759","June 29, 1759"
000001-0139,"Hartford County ss. Farmington the 23 Day of Novem 1743 Then Ebenezer Smith who Executed the foregoing Instrument personally appeared and acknowledged the same to be his own free act and Deed Before me Michael Strong Just Peace. Rec'd August 2 1756 and Recorded from the Original by Edw Lynchow Reg'r. Know all men by these Presents that I Gideon Canfield of Durham in the County of New Haven & Colony of Connecticut in New England for & in Consideration of the Sum of Six pounds in lawful money to me well & truly paid by Isaac Doud of Granville in the County of Hampshire in the Province of the Massachusetts Bay in New England Have Given Granted Bargained Sold and do hereby fully freely & absolutely give Grant Bargain Sell Alienate Convey & Confirm unto the s'd Isaac Doud his Heirs & assigns forever a Certain parcel of Land lying & being in Granville Containing Sixty acres or thereabouts Beginning at the Southwest Corner of s'd Town of Land laid out to Rowland Heighton to run North Ninety Five rods, thence East one Hundred & Eleven rods to Daniel Browns Corner, thence South Ninety Five rods to the Southwest Corner of s'd Browns lot thence west one Hundred & Eleven rods to the first mentioned Corner Including & Highway of need be to be laid out thro' s'd Land, so that s'd lot shall be Granted & bargained Premises with the appurtenances & Privileges & Rights to the s'd Doud his Heirs & assigns to his & their only proper use benefit & behoof forever and I the s'd Gideon Canfield do hereby for myself my Heirs Executors & Administrators Covenant Promise & Grant to & with the s'd Doud his Heirs & assigns that at & until the Ensealing hereof I am good seized & possessed of the Premises in my own Right as a good & Perfect Estate of Inheritance in fee Simple & that I have full Right to Grant Bargain & Sell the same as above s'd and that the s'd Doud his Heirs & assigns shall & may by force & Virtue of these presents Lawfully & peaceably have hold use possess & Enjoy the premises free of all Encumbrances whatsoever. Furthermore I the s'd Gideon Canfield do hereby for my self my Heirs Covenant & Engage to Warrant & Defend the above Granted premises unto the s'd Doud his Heirs & Assigns forever against the Lawfull Claims & Demands of all persons whomsoever. In Witness whereof I have hereunto set my hand & seal this first Day of January Anno Domini 1736. Signed Sealed & Delivered in presence of James Wadsworth Joshua Meigs Gideon Canfield (Seal) Durham January the 1st 1736 Then personally appeared Gideon Canfield Signer to the above written Instrument and acknowledged the same to be his free act & Deed Before me James Wadsworth Just Peace Rec'd June 3 1738 and Recorded from the Original by Edw Lynchow Reg'r",Land Deed,Gideon Canfield of Durham in the County of New Haven & Colony of Connecticut,Isaac Doud of Granville in the County of Hampshire in the Province of the Massachusetts Bay,"Michael Strong, Justice of Peace (for Ebenezer Smith acknowledgment), James Wadsworth, Justice of Peace (for Gideon Canfield acknowledgment), Edward Lynchow, Register (recorded the document)",Sixty acres or thereabouts,"Beginning at the Southwest Corner of s'd Town of Land laid out to Rowland Heighton, to run North Ninety Five rods, thence East one Hundred & Eleven rods to Daniel Browns Corner, thence South Ninety Five rods to the Southwest Corner of s'd Browns lot, thence west one Hundred & Eleven rods to the first mentioned Corner, Including & Highway of need be to be laid out thro' s'd Land",Land in Granville,Granville,"Hampshire (for property location), New Haven (for grantor's residence), Hartford (for acknowledgment)",,"January 1, 1736","June 3, 1738"
000001-0236,My self good Right full power and lawfull authority to grant bargain sell convey and confirm said bargained Premises in manner as aforesaid And that he the said David Page his Heirs and assigns Shall and may from time to time and at all times Forever hereafter By Force and Virtue of these presents lawfully Peaceably and quietly have hold use Occupy possess and Enjoy the said Premises and bargained Premises with the appurtenances free and clear and freely and clearly Acquitted Exonerated and Discharged of from all and all manner of former and other gifts grants bargains sales leases Mortgages Wills Entails jointures Dowers judgments Executions or Incumbrances of what Name or Nature soever that might in any measure or Degree Obstruct or make Void this Present Deed Furthermore I the said Samuel Scott for my Self my Heirs Executors and Administrators Do Covenant and Engage the above Demised Premises to him the said David Page his Heirs and assigns against the lawful Claims or Demands of any Person or persons whatsoever Forever hereafter to Warrant Secure and Defend by these Presents. In Witness whereof I hereunto Set my hand and Seal this twenty ninth Day of July Anno Domini 1763 in the third Second Year of His Majestys Reign. Signed Sealed and Delivered in Presence of us [Sam'l Scott & Seal] John Caldwell Margaret Wilson. Worcester ss. August 4th A.D. 1763 Sam'l Scott the within Grantor appeared and Acknowledged This Instrument to be his act and Deed Before me John Caldwell Just Peace. Rec'd and Recorded from the Original Septem'r 14th 1763. P Peter Bynchon Reg'r. Know all men by these Presents that I Stephen Warner jun'r (with Rachel my wife) of South Hadley in the County of Hampshire and Province of the Massachusetts Bay in New England Yeoman for Consideration of the full sum of three Hundred Pounds lawfull money to me in hand paid before the Delivery hereof by Elijah Alvord of S'd South Hadley Innholder Have Given Granted bargained and sold and do by these presents give grant bargain sell Alien and fully freely and absolutely convey and confirm unto him the Said,Deed,"Samuel Scott, Stephen Warner Jr., Rachel Warner","David Page, Elijah Alvord","John Caldwell, Justice of the Peace, Peter Bynchon, Register",,,Premises and bargained Premises with the appurtenances,South Hadley,Hampshire,,"July 29, 1763","September 14, 1763"
000001-0288,Authority to Grant bargain sell convey and confirm said bargains demises in manner as aforesaid and that the said Percy Graves his heirs and assigns shall and may from time to time and at all times forever hereafter by force and virtue of these presents lawfully peaceably and quietly have hold use occupy possess and enjoy the said demised and bargained premises with the appurtenances free and clear and freely and clearly acquitted exonerated and discharged of from all and all manner of former or other gifts grants bargains sales leases mortgages wills entails jointures dowries judgements executions or incumbrances of what kind or nature soever that might in any measure or degree obstruct or make void this present deed. Furthermore I the said William Clark for my self my heirs executors and administrators do covenant and engage the above demised premises to him the said Percy Graves his heirs and assigns against the lawful claims or demands of any person or persons whatsoever forever hereafter to warrant secure and defend by these presents. In witness whereof I have set my hand and seal this 30th Day of March Anno Domini 1757. Signed sealed and delivered in presence of Nath Dwight Elisha Dwight. Hampshire ss. Hadley Sept 28th 1758 Then the within written subscriber acknowledged the same to be his act and deed before me Rich French Just Peace. Recd September 28th 1758 and Recorded from the Original. Thos Ingersoll Regr. To all People to whom these Presents shall come Greeting Know ye that I Reuben Shawlding of N? in the County of Hampshire and Province of the Massachusetts Bay in new England Yeoman For and in consideration of Eight Pounds lawful money to me in hand well and truly paid by Stephen Sedgwick of Farmington in the County of Hartford and Colony of Connecticut in new England upon the Receipt whereof I do hereby Acknowledge and myself therewith fully satisfied,Deed,"William Clark, Reuben Shawlding","Percy Graves, Stephen Sedgwick","Rich French, Justice of the Peace, Thos Ingersoll, Registrar",,,demised and bargained premises with the appurtenances,"['Hadley', 'Farmington']","['Hampshire', 'Hartford']",,"March 30, 1757","September 28, 1758"
000001-0540,"I do for myself, heirs, executors and administrators covenant with the said Isaac Hill his Heirs and assigns, that at and until the Ensealing of these presents I am well seized of the Premises as a good fee simple Estate in the Law... Know all men by these presents that I Samuel Cochran of Woodbury in Litchfield County and Colony of Connecticut in New England For the consideration of thirty five pounds Lawfull money to me in hand paid before the Delivery hereof by Isaac Hill of Woodbury Have given granted bargained and sold and do by these presents Give grant bargain sell alien and fully freely and absolutely convey and confirm unto him the said Isaac Hill his Heirs and assigns forever, Two Certain lotts Tract or parcels of Land lying and being in ye Township of New Framingham in the County of Hampshire in the Province of the Massachusetts Bay in new England being the two Original or House lotts Number thirty Eight and thirty Nine and are bounded as will be seen by the plan of the Survey of Sd Township...",Deed/Land Conveyance,Samuel Cochran of Woodbury,Isaac Hill of Woodbury,"Daniel Sherman, Justice of Peace",,Bounded as will be seen by the plan of the Survey of Said Township,Two Original or House lots Number thirty Eight and thirty Nine,New Framingham Township,Hampshire County,,"January 3, 1759","August 9, 1759"
000001-0554,"Hamp[shire] SS: April 19th 1739 Then Joseph Ashley of Springfield & Yeoman acknowledged the foregoing Instrument to be his Deed Before John Worthington Just. Peace. Recd April 30th 1739 & Recorded from the Original. Edward Pynchon Regr. To all People to whom these Presents shall come Greeting, Know ye that I Joseph Ashley of Springfield in the County of Hampshire and Province of the Massachusetts Bay in new England Yeoman for and in consideration of the sum of twenty pounds to me in hand before the Ensealing hereof well and truly paid by Samuel Warner of Springfield in the aforesaid County and Province Husbandman the Receipt whereof I do hereby Acknowledge and my self therewith fully satisfied and contented and hereof and of every part and parcel thereof do exonerate acquit and Discharge him the said Samuel Warner his Heirs Executors and Administrators forever by these Presents Have Given Granted bargained Sold aliened conveyed and confirmed and by these presents do freely fully and absolutely give grant bargain sell aliened convey and confirm unto him the said Samuel Warner his Heirs and assigns forever a certain lot of Land in the Town of Springfield aforesaid on the East Side of the Great River in the out-ward Commons in the Second or Middle Division of Commons being the 3d lot in No in Sd Division being eleven rods and fourteen feet in breadth 16 feet to the rod bounded East on Springfield line extending west the whole length of Sd lott Excepting one Mile at the west End Sd lott was originally laid out to Joseph Crowfoot Esqr. To Have and To Hold the said Granted and bargained premises with all the appurtenances privileges and commodities to the same belonging or in anywise appertaining to him the said Samuel Warner his Heirs and assigns forever to his and their only proper use benefit and behoof forever And I the said Joseph Ashley for me and for my Heirs Executors and Administrators do covenant promise and grant to and with the Sd Samuel Warner his Heirs and assigns that before the Ensealing hereof I am the true Sole and lawful owner of the above bargained premises and am lawfully seized and possessed of the same in my own proper Right as a good",Deed,Joseph Ashley,Samuel Warner,"John Worthington, Justice of Peace, Edward Pynchon, Register",,"East on Springfield line, Extending west the whole length of said lot (excepting one Mile at the west End)","3rd lot in the Second or Middle Division of Commons, being eleven rods and fourteen feet in breadth, 16 feet to the rod",Springfield,Hampshire,,"April 19, 1739","April 30, 1739"
000001-0449,"In new England &c. for the consideration of Forty pounds money in hand paid before Ensealing hereof by Benajah Knap of said Norfolk &c. Granted do therefore Give Grant Bargain Sell convey and confirm unto the Grantee his Heirs and assigns forever, the land and premises hereafter named Being in the Township Number Two alias New Marlborough Between Westfield and Sheffield in the County of Hampshire and Province of the Massachusetts Bay and is the one half of the twentieth lot, the one half of the Eighty third lot the one half of the one hundred and forty fourth lot, and the one half of the two Hundred and Eight lot in the third Division and that the Grantee his Heirs and assigns may lawfully have and hold the one half of said lots with all of said Divisions Either in the Equivalent lands or Elsewhere belonging to half the Rights whatsoever the Grantor have and Right to Sell and Dispose of and I do for myself and Heirs Covenant and Engage by these presents the above granted Premises unto the Grantee his Heirs and assigns against any lawful Claims or Demand Witness my hand and Seal this 21st Day of February 1759. Signed Sealed and Delivered in Presence of Ezra Knap Jacob Mead. Hampshire ss. February ye 21st 1759 Then Josiah Whitney of Sealed Signed within Instrument acknowledged by him to be his free act and Deed. Cram Phelps Esq Justice of Peace. Recd. Feby 28 1759 & Recorded from the Original. Edw. Pynchon Regr. [Second deed begins] Know all men by these presents that I Thomas Cotton of Springfield in the County of Hampshire & Province of the Massachusetts Bay in new England Gent. For Consideration of the Natural Love good will and affection I have and do bear to my son-in-law Luke Cooley of Somers in the County of Hartford & Colony of Connecticut in new England Husbandman and to his wife Elizabeth Cooley my Daughter Have and do hereby Give Grant Deliver Convey & Confirm unto them the said Luke Cooley and Elizabeth Cooley and their Heirs forever, The following Tract of land lying & being in the Township of Somers aforesaid: viz. Fourteen acres & three quarters of land, bounded North on the sd Luke Cooleys own land, west on Nathll Warner or Nathll Pikes South on Nathll Warners land, East on a Road; also a Tract",Land Deed,"Josiah Whitney, Thomas Cotton","Benajah Knap, Luke Cooley, Elizabeth Cooley","Cram Phelps Esq Justice of Peace, Edw. Pynchon Regr",Fourteen acres & three quarters (in second deed),"North on Luke Cooley's own land, West on Nathaniel Warner or Nathaniel Pike's land, South on Nathaniel Warner's land, East on a Road","One half of the twentieth lot, one half of the Eighty third lot, one half of the one hundred and forty fourth lot, and one half of the two Hundred and Eight lot in the third Division (first deed)","New Marlborough, Springfield, Somers","Hampshire County (MA), Hartford County (CT)",,"February 21, 1759 (first deed)","February 28, 1759 (first deed)"
000001-0394,"Executors and Administrators Do Covenant and Engage the above Premises Demised to him the said George Salleson his Heirs and Assigns against the Lawful Claims or Demands of any Person or Persons whatsoever forever hereafter to Warrant Secure and Defend by these Presents. In Witness whereof I have hereunto set my Hand & Seal this Second Day of March one thousand Seven Hundred & Fifty one & in ye twenty fourth Year of ye Reign of our Sovereign Lord George ye Second By ye Grace of God King of Great Britain France & Ireland Defender of ye Faith &c. Signed Sealed & Delivered in Presence of William Gilmore John Dick. Adam Salleson [Seal]. Hampshire March 26: 1751, Then Adam Salleson of Pelham in the County aforesaid appeared and acknowledged the foregoing Instrument to be his act & Deed. Coram John Worthington Just Pac. Recd Febry 10th 1752 & Recorded from the Original by Edw. Pynchon Regr. To all People to whom these presents shall come Greeting, Know ye that I Josiah Firmin of Springfield in the County of Hampshire and Province of the Massachusetts Bay in new England Yeoman, For and in consideration of the sum of one Hundred and twenty pounds Current lawful money of the Province aforesaid to me in hand paid before the Ensealing hereof by Jonathan Buffe and Mabel Buffe both of Somers in the County & Province aforesaid in new England Yeomen, The Receipt whereof I do hereby Acknowledge and am fully Satisfied Contented and paid, Have and do by these presents for me my Heirs Executors and Administrators covenant with Remise Release and forever quit claim unto them the said Jonathan Buffe and Mabel Buffe their Heirs and assigns forever all my Right and Title Interest and Estate claim and Possession unto and in a certain Tract of land lying and being in the Township of Springfield aforesaid on the East Side of the great River in the outward Commons in the third South Division of ye Commons being part of the land commonly called and known by the Name of Overplus land Joyning to Somers line lying on the East side of the pine Mountain",Land Deed with Covenant,"Josiah Firmin, Adam Salleson","George Salleson, Jonathan Buffe, Mabel Buffe","John Worthington, Justice of the Peace, Edw. Pynchon, Register",,"East Side of the great River, Somers line, East side of the pine Mountain","Tract of land in the Township of Springfield in the outward Commons in the third South Division, part of land called Overplus land",Springfield,Hampshire,,"March 2, 1751/2","February 10, 1752"
000001-0397,"Benjamin Bagnall his Heirs and assigns against the lawful Claims & Demands of any Person or persons whatsoever forever to Warrant Secure and Defend by these presents. In Witness whereof I have hereunto Set my Hand & Seal this tenth day of March in the Twenty Seventh year of his Majesty's Reign and in the year of our Lord one thousand seven Hundred & fifty four. [In presence of] Leonard Gueno of New Haven. Newport to wit Newport May 10th 1754 Personally appeared Abraham Borden Esqr and acknowledged the above Instrument to be his Voluntary act & Deed. Before Son Clarke Just Peace. Boston July 11th 1756 I do hereby for the consideration within mentioned Relinquish all my right & title of Dower therein & to my within granted Land & Premises with their appurtenances Witness my hand & seal ye Day & Date above. [Signed Sealed & Delivered In Presence of two] Martha Borden [seal]. Ezek Breylden Sarah Breylden. Suffolk ss. July 12 1756 Mrs Martha Borden Acknowledged the Instrument or writing on this paper whereto her Name is Subscribed to be her free Act & Deed. Before me J Dansforth J. pac. Know all men by these presents that I the within Named Benjamin Bagnall of Boston Merchant for & in consideration of the Sum of one thousand pounds to me in hand at & before ye Sealing & delivery paid by Samuel Lilley of ye Boston Merchant Have & by these presents do Grant Sell convey & confirm unto ye Said Samuel Lilley the within mentioned Tract or parcel of Land lying in Hampshire in ye Province of ye Massachusetts Bay containing about two Hundred & fifty acres butted & bounded as in ye within Deed Together with all ye Hereditaments privileges & appurtenances to ye Same be-longing, To Have & to Hold ye Same to ye sd Samuel Lilley his Heirs & assigns forever with all my Right & Title to ye Same & Every part thereof. And Further I do covenant for my self & my Heirs Executors & admors that at & Until ye Ensealing & delivery hereof I am ye Sole & lawfull owner of ye sd Land & have good right...",Land Deed,"Benjamin Bagnall of Boston, Merchant","Samuel Lilley of Boston, Merchant","Abraham Borden, Esq., Son Clarke, Justice of Peace, J. Dansforth, Justice of Peace",about two Hundred & fifty acres,Referenced in deed but not fully specified in visible text,Tract or parcel of Land lying in Hampshire in ye Province of ye Massachusetts Bay,Boston,Hampshire,,"March 10, 1754",
000001-0529,"New Haven County ss. Dur-ham Nov'r 24th AD 1756 Daniel Brown subscriber & sealer to this instrument personally appeared and acknowledged same to be his free act and deed before me Elihu Chauncey Jus' Peace. Rec'd April 8, 1757 & Recorded from the Original. Edw. Lynchon Reg'r. Whereas Cap't Joseph Coe Joseph Tibbals David Robinson John Seward Ephraim Coe Stephen Nichols all of Durham in the County of New Haven & Colony of Connecticut in new England Purchased of Josiah Pynchon & John Wendell of Boston in the County of Suffolk in the Province of the Massachusetts Bay certain lands lying in a new Plantation called Medford in the County of Hampshire in s'd Province Since which the s'd Joseph Coe & Ephraim Coe have respectively sold the one half of their several parts in s'd Purchased lands unto Ezra Baldwin of s'd Durham, yet the s'd lands hath been undivided, and now all the s'd owners upon their view do find it necessary to divide & part s'd lands & to hold the same in Severalty in the manner form & quantity herein mentioned & described...",Deed/Land Division Agreement,"Joseph Tibbals, David Robinson, Ezra Baldwin, Stephen Nichols, John Seward (deceased)","Joseph Coe, Ephraim Coe","Elihu Chauncey, Justice of Peace, Edw. Lynchon, Registrar",46.5 acres,"North east corner, Chesnut stump, South forty six rods to a heap of stones, West one hundred & twenty one rods to David Sykes Northwest corner, North twenty two degrees East forty seven rods & a half",Part of purchased lands in Medford plantation,Durham,"New Haven County, Hampshire County",,"November 24, 1756","April 8, 1757"
000001-0874,,,,,,,,,,,,,
